age,sex,job,housing,saving_accounts,checking_account,credit_amount,duration,purpose,risk,credit_per_month,age_group,credit_to_age_ratio,no_checking,no_saving,saving_level,checking_level,financial_security
33.0,female,3,own,little,rich,1474.0,12.0,furniture/equipment,good,122.8230980751604,31-40,44.666666666666664,0,0,1,3,0.4042037186742118
25.0,male,1,own,little,moderate,4746.0,42.0,radio/TV,bad,112.99730958786697,18-30,189.84,0,0,1,2,0.17403411068569438
31.0,male,2,free,little,little,6110.0,42.0,education,good,145.47272683983715,31-40,197.09677419354838,0,0,1,1,0.14064697609001406
37.0,male,2,own,little,rich,2100.0,18.0,radio/TV,bad,116.66018554524747,31-40,56.75675675675676,0,0,1,3,0.3225806451612903
37.0,male,2,own,little,rich,1225.0,10.0,domestic appliances,good,122.48775122487751,31-40,33.108108108108105,0,0,1,3,0.449438202247191
24.0,male,2,own,little,moderate,458.0,9.0,radio/TV,good,50.88323519608932,18-30,19.083333333333332,0,0,1,2,0.6858710562414266
30.0,male,3,own,quite rich,little,2333.0,30.0,radio/TV,good,77.76407453084897,18-30,77.76666666666667,0,0,3,1,0.9000900090009001
26.0,male,2,own,quite rich,moderate,1158.0,12.0,radio/TV,good,96.49195900341638,18-30,44.53846153846154,0,0,3,2,1.3901760889712698
44.0,male,1,own,little,moderate,6204.0,18.0,repairs,good,344.6475195822454,41-50,141.0,0,0,1,2,0.13881177123820101
24.0,male,2,rent,moderate,little,6187.0,30.0,car,good,206.2264591180294,18-30,257.7916666666667,0,0,2,1,0.2782802281897871
58.0,female,1,free,little,little,6143.0,42.0,car,bad,146.25842241851385,51-60,105.91379310344827,0,0,1,1,0.1399972000559989
35.0,female,3,own,little,little,1393.0,11.0,car,good,126.62485228615581,31-40,39.8,0,0,1,1,0.41788549937317176
39.0,male,2,own,quite rich,little,2299.0,36.0,radio/TV,good,63.85933724063221,31-40,58.94871794871795,0,0,3,1,0.9093664746892998
23.0,female,0,rent,quite rich,little,1352.0,6.0,car,good,225.295784035994,18-30,58.78260869565217,0,0,3,1,1.2755102040816324
39.0,male,1,own,little,little,7228.0,11.0,car,good,657.0311789837288,31-40,185.33333333333334,0,0,1,1,0.12153621779290229
28.0,female,2,own,moderate,little,2073.0,12.0,radio/TV,good,172.7356053662195,18-30,74.03571428571429,0,0,2,1,0.6508298080052066
29.0,male,1,own,little,moderate,2333.0,24.0,furniture/equipment,good,97.20428315486855,18-30,80.44827586206897,0,0,1,2,0.3000300030003
30.0,male,3,own,little,moderate,5965.0,27.0,car,good,220.91774378726714,18-30,198.83333333333334,0,0,1,2,0.14357501794687724
25.0,male,2,own,little,little,1262.0,12.0,radio/TV,good,105.157903508041,18-30,50.48,0,0,1,1,0.4420866489832007
31.0,male,2,own,little,little,3378.0,18.0,car,good,187.65624131992666,31-40,108.96774193548387,0,0,1,1,0.2284148012791229
57.0,male,2,free,little,moderate,2225.0,36.0,car,bad,61.80383878225605,51-60,39.03508771929825,0,0,1,2,0.31007751937984496
26.0,male,1,own,little,little,783.0,6.0,car,good,130.47825362439593,18-30,30.115384615384617,0,0,1,1,0.5608524957936063
52.0,male,3,own,little,moderate,6468.0,12.0,radio/TV,bad,538.955087076077,51-60,124.38461538461539,0,0,1,2,0.1339046598821639
31.0,female,2,own,little,little,7882.375,36.0,radio/TV,good,218.94877920057777,31-40,254.2701612903226,0,0,1,1,0.11258250186464769
23.0,female,3,own,little,rich,1961.0,18.0,car,good,108.93839231153824,18-30,85.26086956521739,0,0,1,3,0.3377237419790611
23.0,female,1,rent,little,little,6229.0,36.0,furniture/equipment,bad,173.02297158412267,18-30,270.82608695652175,0,0,1,1,0.13833171946327294
27.0,male,2,own,little,moderate,1391.0,9.0,business,good,154.53838462393068,18-30,51.51851851851852,0,0,1,2,0.41823504809703055
50.0,male,2,own,little,moderate,1537.0,15.0,radio/TV,good,102.4598360109326,41-50,30.74,0,0,1,2,0.3941663381947182
61.0,male,3,free,little,moderate,1953.0,36.0,business,bad,54.24849309741396,60+,32.01639344262295,0,0,1,2,0.3386386725364036
25.0,male,2,own,little,moderate,7882.375,42.0,business,bad,187.6711268779315,18-30,315.295,0,0,1,2,0.11258250186464769
26.0,female,2,own,little,little,3181.0,24.0,radio/TV,good,132.53614432731968,18-30,122.34615384615384,0,0,1,1,0.2391772303276728
48.0,male,2,own,little,little,5190.0,27.0,repairs,good,192.21510314432797,41-50,108.125,0,0,1,1,0.16155088852988692
29.0,female,2,own,little,little,2171.0,12.0,radio/TV,good,180.90159153403883,18-30,74.86206896551724,0,0,1,1,0.315357931251971
22.0,male,2,own,rich,moderate,1007.0,12.0,car,good,83.90967419381718,18-30,45.77272727272727,0,0,4,2,1.9930244145490785
37.0,male,2,free,little,little,1819.0,36.0,education,bad,50.52637426738146,31-40,49.16216216216216,0,0,1,1,0.35473572188719404
25.0,female,2,own,little,little,2394.0,36.0,radio/TV,good,66.49815282908808,18-30,95.76,0,0,1,1,0.2946375957572186
30.0,female,2,own,little,little,7882.375,36.0,car,good,218.94877920057777,18-30,262.74583333333334,0,0,1,1,0.11258250186464769
46.0,male,1,rent,little,little,730.0,7.0,radio/TV,good,104.2708184545065,41-50,15.869565217391305,0,0,1,1,0.5780346820809249
51.0,male,3,free,little,little,1164.0,8.0,vacation/others,good,145.48181477315336,51-60,22.823529411764707,0,0,1,1,0.4621072088724585
41.0,female,1,own,little,moderate,5954.0,42.0,business,good,141.75852955882004,41-50,145.21951219512195,0,0,1,2,0.14380212827149844
40.0,male,3,own,little,little,1977.0,36.0,education,bad,54.9151412460765,31-40,49.425,0,0,1,1,0.33590863285186423
64.5,male,3,free,little,little,1526.0,12.0,car,good,127.15607032747272,60+,23.65891472868217,0,0,1,1,0.39588281868566905
34.0,male,2,own,little,little,3965.0,42.0,radio/TV,bad,94.40251422585177,31-40,116.61764705882354,0,0,1,1,0.2014098690835851
51.0,male,2,own,little,moderate,4771.0,11.0,radio/TV,good,433.68784655940374,51-60,93.54901960784314,0,0,1,2,0.17328019407381737
39.0,male,1,own,little,little,7882.375,42.0,car,good,187.6711268779315,31-40,202.11217948717947,0,0,1,1,0.11258250186464769
22.0,male,2,own,little,moderate,3832.0,30.0,furniture/equipment,good,127.72907569747674,18-30,174.1818181818182,0,0,1,2,0.20695364238410596
44.0,female,2,own,little,little,5943.0,24.0,radio/TV,bad,247.61468272155327,41-50,135.0681818181818,0,0,1,1,0.14402995823131212
47.0,male,2,own,quite rich,little,1213.0,15.0,radio/TV,good,80.861275914939,41-50,25.80851063829787,0,0,3,1,1.3556258472661544
24.0,female,1,rent,moderate,little,1568.0,18.0,business,good,87.10627187378478,18-30,65.33333333333333,0,0,2,1,0.778816199376947
58.0,female,1,own,little,little,1755.0,24.0,vacation/others,good,73.12195325194783,51-60,30.25862068965517,0,0,1,1,0.3629764065335753
52.0,male,1,own,little,little,2315.0,10.0,radio/TV,good,231.47685231476854,51-60,44.51923076923077,0,0,1,1,0.30165912518853694
29.0,female,3,own,little,little,1412.0,12.0,business,good,117.65686192817266,18-30,48.689655172413794,0,0,1,1,0.41459369817578773
27.0,female,2,own,little,moderate,1295.0,18.0,furniture/equipment,good,71.94044775290261,18-30,47.96296296296296,0,0,1,2,0.4357298474945534
47.0,male,2,free,moderate,moderate,7882.375,36.0,education,bad,218.94877920057777,41-50,167.71010638297872,0,0,2,2,0.22516500372929538
30.0,male,3,own,moderate,little,2249.0,18.0,car,good,124.93750347202932,18-30,74.96666666666667,0,0,2,1,0.6155740227762388
28.0,male,2,own,little,little,1108.0,12.0,repairs,bad,92.32563953003917,18-30,39.57142857142857,0,0,1,1,0.47438330170777987
56.0,male,2,own,little,little,618.0,12.0,radio/TV,good,51.49570869094242,51-60,11.035714285714286,0,0,1,1,0.6180469715698393
54.0,male,2,own,little,little,1409.0,12.0,car,good,117.40688275977003,51-60,26.09259259259259,0,0,1,1,0.41511000415110005
33.0,female,1,own,little,little,797.0,12.0,radio/TV,bad,66.41113240563287,31-40,24.151515151515152,0,0,1,1,0.5564830272676683
20.0,male,2,rent,little,rich,3617.0,24.0,furniture/equipment,good,150.70205408107995,18-30,180.85,0,0,1,3,0.21659085986571366
54.0,male,2,own,rich,moderate,1318.0,12.0,car,good,109.82418131822348,51-60,24.40740740740741,0,0,4,2,1.725625539257981
58.0,male,2,rent,little,moderate,7882.375,42.0,business,bad,187.6711268779315,51-60,135.9030172413793,0,0,1,2,0.11258250186464769
61.0,female,2,own,little,little,2012.0,12.0,education,good,167.65269560869928,60+,32.98360655737705,0,0,1,1,0.33200531208499334
34.0,male,2,own,moderate,moderate,2622.0,18.0,business,good,145.65857452363755,31-40,77.11764705882354,0,0,2,2,0.5521811154058531
36.0,male,2,own,little,moderate,2337.0,36.0,radio/TV,good,64.91486347601456,31-40,64.91666666666667,0,0,1,2,0.2996703626011387
36.0,male,3,rent,little,moderate,7057.0,20.0,car,good,352.8323583820809,31-40,196.02777777777777,0,0,1,2,0.12411567580985478
41.0,male,1,rent,moderate,little,1469.0,24.0,car,good,61.20578309237115,41-50,35.829268292682926,0,0,2,1,0.8100445524503846
24.0,male,2,rent,little,moderate,2323.0,36.0,radio/TV,good,64.52598538929475,18-30,96.79166666666667,0,0,1,2,0.30093289196509176
24.0,female,2,own,little,little,932.0,6.0,radio/TV,good,155.30744875854023,18-30,38.833333333333336,0,0,1,1,0.5175983436853002
35.0,male,2,rent,little,moderate,1919.0,9.0,furniture/equipment,good,213.1985334962782,31-40,54.82857142857143,0,0,1,2,0.34258307639602603
26.0,male,2,rent,little,little,2445.0,12.0,car,good,203.733022248146,18-30,94.03846153846153,0,0,1,1,0.29027576197387517
39.0,male,3,own,little,moderate,7882.375,24.0,vacation/others,bad,328.4186075580184,31-40,202.11217948717947,0,0,1,2,0.11258250186464769
39.0,male,3,own,little,little,6458.0,18.0,car,bad,358.75784678628963,31-40,165.5897435897436,0,0,1,1,0.13408420488066505
32.0,male,2,own,little,moderate,6078.0,12.0,car,good,506.45779518373473,31-40,189.9375,0,0,1,2,0.14128284826222096
30.0,female,2,own,little,little,7721.0,24.0,furniture/equipment,good,321.6949293779426,18-30,257.3666666666667,0,0,1,1,0.11466574934067195
35.0,male,2,own,quite rich,moderate,1410.0,14.0,business,good,100.70709235054639,31-40,40.285714285714285,0,0,3,2,1.2448132780082988
31.0,male,2,own,moderate,moderate,1449.0,6.0,business,good,241.45975670721546,31-40,46.74193548387097,0,0,2,2,0.8166598611678236
23.0,female,2,rent,little,rich,392.0,15.0,education,good,26.13159122725152,18-30,17.043478260869566,0,0,1,3,0.7183908045977012
28.0,male,1,rent,little,moderate,6260.0,18.0,car,good,347.758457863452,18-30,223.57142857142858,0,0,1,2,0.13774104683195593
25.0,female,2,own,little,little,7855.0,36.0,car,bad,218.18838365600956,18-30,314.2,0,0,1,1,0.1129305477131564
35.0,male,2,own,quite rich,little,1680.0,12.0,radio/TV,good,139.98833430547455,31-40,48.0,0,0,3,1,1.119402985074627
47.0,male,2,own,little,little,3578.0,42.0,radio/TV,good,85.18844789409776,41-50,76.12765957446808,0,0,1,1,0.21843599825251203
30.0,female,3,own,little,little,7174.0,42.0,radio/TV,bad,170.8054570129283,18-30,239.13333333333333,0,0,1,1,0.12233912405187179
27.0,female,2,rent,little,little,2132.0,10.0,furniture/equipment,good,213.17868213178684,18-30,78.96296296296296,0,0,1,1,0.31928480204342274
23.0,female,2,own,quite rich,little,4281.0,33.0,furniture/equipment,bad,129.72334171691767,18-30,186.1304347826087,0,0,3,1,0.5680742283658399
36.0,male,3,own,quite rich,moderate,2366.0,12.0,car,good,197.15023748021,31-40,65.72222222222223,0,0,3,2,0.8912655971479501
25.0,female,2,own,little,little,1835.0,21.0,radio/TV,bad,87.37679158135326,18-30,73.4,0,0,1,1,0.3527336860670194
41.0,female,3,rent,little,little,3868.0,24.0,car,good,161.15995166868046,41-50,94.34146341463415,0,0,1,1,0.20542317173377156
24.0,male,1,rent,little,little,1768.0,12.0,furniture/equipment,good,147.32105657861845,18-30,73.66666666666667,0,0,1,1,0.36127167630057805
63.0,male,2,free,little,rich,781.0,10.0,car,good,78.09219078092191,60+,12.396825396825397,0,0,1,3,0.5614823133071308
27.0,female,2,rent,little,moderate,1924.0,18.0,furniture/equipment,bad,106.88295094716959,18-30,71.25925925925925,0,0,1,2,0.34199726402188785
30.0,male,2,own,little,little,2121.0,12.0,car,good,176.73527206066163,18-30,70.7,0,0,1,1,0.32041012495994875
40.0,male,1,own,little,little,701.0,12.0,radio/TV,good,58.41179901674861,31-40,17.525,0,0,1,1,0.5878894767783657
30.0,male,2,own,little,moderate,639.0,12.0,repairs,bad,53.24556286976085,18-30,21.3,0,0,1,2,0.6101281269066504
34.0,male,3,own,little,moderate,1860.0,12.0,car,good,154.98708440963253,31-40,54.705882352941174,0,0,1,2,0.34965034965034963
29.0,female,2,own,little,little,3499.0,12.0,car,bad,291.55903674693775,18-30,120.65517241379311,0,0,1,1,0.22227161591464767
24.0,female,2,own,little,moderate,7882.375,42.0,car,good,187.6711268779315,18-30,328.4322916666667,0,0,1,2,0.11258250186464769
29.0,male,2,own,little,little,6887.0,36.0,education,bad,191.3002416599539,18-30,237.48275862068965,0,0,1,1,0.12679092177000129
27.0,male,1,own,little,little,2708.0,15.0,furniture/equipment,good,180.52129858009468,18-30,100.29629629629629,0,0,1,1,0.2696871628910464
47.0,male,2,free,little,little,1984.0,18.0,furniture/equipment,good,110.21609910560524,41-50,42.212765957446805,0,0,1,1,0.3351206434316354
21.0,female,2,own,moderate,little,7882.375,42.0,radio/TV,good,187.6711268779315,18-30,375.3511904761905,0,0,2,1,0.22516500372929538
38.0,female,2,own,little,little,1240.0,12.0,radio/TV,good,103.32472293975502,31-40,32.63157894736842,0,0,1,1,0.4464285714285714
27.0,male,2,own,rich,little,7882.375,27.0,car,good,291.92900262953225,18-30,291.93981481481484,0,0,4,1,0.45033000745859075
64.5,male,1,own,quite rich,moderate,766.0,12.0,radio/TV,bad,63.82801433213899,60+,11.875968992248062,0,0,3,2,1.6987542468856172
35.0,male,2,own,little,moderate,2728.0,15.0,radio/TV,good,181.85454303046464,31-40,77.94285714285714,0,0,1,2,0.26824034334763946
44.0,female,1,rent,little,rich,1881.0,12.0,radio/TV,good,156.73693858845098,41-50,42.75,0,0,1,3,0.3471017007983339
27.0,male,0,own,rich,rich,709.0,6.0,car,good,118.14697550408265,18-30,26.25925925925926,0,0,4,3,2.340550029256875
30.0,female,3,own,little,moderate,4795.0,36.0,radio/TV,good,133.1907447015361,18-30,159.83333333333334,0,0,1,2,0.1725625539257981
27.0,male,3,own,little,little,3416.0,27.0,radio/TV,good,126.51383282100663,18-30,126.51851851851852,0,0,1,1,0.22644927536231882
22.0,male,2,own,little,little,2462.0,18.0,furniture/equipment,bad,136.77017943447586,18-30,111.9090909090909,0,0,1,1,0.28885037550548814
23.0,female,2,own,little,little,2288.0,21.0,furniture/equipment,good,108.94719299080995,18-30,99.47826086956522,0,0,1,1,0.30413625304136255
30.0,male,2,own,moderate,moderate,3566.0,42.0,business,good,84.9027404109426,18-30,118.86666666666666,0,0,2,2,0.43802014892685065
39.0,female,2,own,little,little,860.0,6.0,car,good,143.30944842526245,31-40,22.05128205128205,0,0,1,1,0.5376344086021506
51.0,female,2,own,moderate,little,682.0,12.0,car,good,56.82859761686527,51-60,13.372549019607844,0,0,2,1,1.1890606420927468
28.0,male,2,own,little,little,5371.0,36.0,furniture/equipment,good,149.19030026943696,18-30,191.82142857142858,0,0,1,1,0.15696123057604772
46.0,male,2,own,rich,little,1582.0,18.0,radio/TV,good,87.88400644408644,41-50,34.391304347826086,0,0,4,1,1.549186676994578
42.0,male,2,free,moderate,little,1346.0,6.0,radio/TV,good,224.2959506748875,41-50,32.04761904761905,0,0,2,1,0.8525149190110827
38.0,male,2,own,little,little,1924.0,10.0,radio/TV,good,192.38076192380763,31-40,50.63157894736842,0,0,1,1,0.34199726402188785
24.0,male,2,own,little,rich,5848.0,36.0,radio/TV,good,162.4399322241049,18-30,243.66666666666666,0,0,1,3,0.14602803738317757
29.0,female,2,rent,rich,moderate,7758.0,24.0,car,good,323.23653181117453,18-30,267.51724137931035,0,0,4,2,0.4567252797442339
36.0,male,3,rent,moderate,moderate,6967.0,24.0,business,good,290.27957168451314,31-40,193.52777777777777,0,0,2,2,0.251035521526296
20.0,female,2,rent,little,little,1282.0,12.0,furniture/equipment,bad,106.82443129739188,18-30,64.1,0,0,1,1,0.43821209465381245
48.0,male,2,own,moderate,little,1288.0,9.0,repairs,good,143.09521164315078,41-50,26.833333333333332,0,0,2,1,0.8741258741258741
45.0,male,1,own,little,little,339.0,12.0,education,good,28.24764602949754,41-50,7.533333333333333,0,0,1,1,0.7468259895444361
38.0,male,2,own,moderate,moderate,3512.0,24.0,car,good,146.32723636515144,31-40,92.42105263157895,0,0,2,2,0.4432624113475177
34.0,male,1,own,little,little,1898.0,6.0,radio/TV,good,316.28061989668385,31-40,55.8235294117647,0,0,1,1,0.3450655624568668
36.0,male,2,own,moderate,little,2872.0,24.0,radio/TV,good,119.66168076330152,31-40,79.77777777777777,0,0,2,1,0.5165289256198348
30.0,female,2,own,little,little,1055.0,18.0,car,good,58.60785511916004,18-30,35.166666666666664,0,0,1,1,0.4866180048661801
36.0,male,2,own,quite rich,little,1262.0,15.0,domestic appliances,good,84.12772481834544,31-40,35.05555555555556,0,0,3,1,1.3262599469496021
64.5,male,3,free,little,moderate,7308.0,10.0,car,good,730.7269273072693,60+,113.30232558139535,0,0,1,2,0.1203659123736158
36.0,male,2,own,quite rich,little,909.0,36.0,car,good,25.249298630593596,31-40,25.25,0,0,3,1,1.571503404924044
32.0,male,2,own,quite rich,little,2978.0,6.0,furniture/equipment,good,496.25062489585065,31-40,93.0625,0,0,3,1,0.7541478129713424
33.0,female,2,own,little,little,1131.0,18.0,furniture/equipment,bad,62.829842786511854,31-40,34.27272727272727,0,0,1,1,0.46926325668700136
20.0,female,2,own,rich,moderate,1577.0,11.0,furniture/equipment,good,143.35060449050087,18-30,78.85,0,0,4,2,1.5521924718665114
25.0,female,2,rent,little,little,3972.0,24.0,furniture/equipment,good,165.4931044539811,18-30,158.88,0,0,1,1,0.2011263073209976
31.0,male,2,own,little,moderate,1935.0,24.0,business,bad,80.62164076496812,31-40,62.41935483870968,0,0,1,2,0.34071550255536626
33.0,male,2,rent,little,little,950.0,15.0,car,bad,63.32911139257383,31-40,28.78787878787879,0,0,1,1,0.5128205128205129
26.0,female,2,own,little,little,763.0,12.0,furniture/equipment,good,63.57803516373636,18-30,29.346153846153847,0,0,1,1,0.5672149744753262
34.0,female,3,own,little,moderate,2064.0,24.0,furniture/equipment,bad,85.996416815966,31-40,60.705882352941174,0,0,1,2,0.3263707571801567
33.0,male,2,own,little,moderate,1414.0,8.0,radio/TV,good,176.72790901137358,31-40,42.84848484848485,0,0,1,2,0.41425020712510363
26.0,male,2,own,little,little,3414.0,21.0,education,bad,162.56368744345505,18-30,131.30769230769232,0,0,1,1,0.22655188038060717
53.0,female,3,own,little,little,7485.0,30.0,car,bad,249.49168361054632,51-60,141.22641509433961,0,0,1,1,0.11785503830288746
42.0,male,2,own,little,little,2577.0,12.0,furniture/equipment,good,214.73210565786187,41-50,61.357142857142854,0,0,1,1,0.2795638803466592
52.0,male,2,own,quite rich,little,338.0,6.0,radio/TV,good,56.3239460089985,51-60,6.5,0,0,3,1,2.242152466367713
31.0,male,3,rent,little,little,1963.0,12.0,radio/TV,good,163.56970252478962,31-40,63.32258064516129,0,0,1,1,0.3374957813027337
64.5,male,2,own,little,little,571.0,21.0,car,good,27.18918146754916,60+,8.852713178294573,0,0,1,1,0.6365372374283896
28.0,male,2,own,little,little,7882.375,36.0,business,bad,218.94877920057777,18-30,281.51339285714283,0,0,1,1,0.11258250186464769
30.0,male,3,own,little,moderate,4455.0,36.0,business,bad,123.74656259548347,18-30,148.5,0,0,1,2,0.18331805682859761
40.0,male,1,own,little,little,1647.0,21.0,car,bad,78.42483691252797,31-40,41.175,0,0,1,1,0.3777861730260672
50.0,male,2,own,rich,little,3777.0,24.0,furniture/equipment,good,157.36844298154242,41-50,75.54,0,0,4,1,0.8373456144023446
36.0,male,2,own,little,moderate,884.0,18.0,car,bad,49.10838286761846,31-40,24.555555555555557,0,0,1,2,0.5307855626326964
31.0,male,2,own,little,little,1360.0,15.0,radio/TV,good,90.66062262515833,31-40,43.87096774193548,0,0,1,1,0.42372881355932196
64.5,female,3,free,little,moderate,5129.0,9.0,car,bad,569.8255749361183,60+,79.51937984496124,0,0,1,2,0.16315875346712352
64.5,male,0,free,little,moderate,1175.0,16.0,car,good,73.4329104430973,60+,18.217054263565892,0,0,1,2,0.4597701149425288
20.0,male,2,own,moderate,little,674.0,12.0,radio/TV,bad,56.16198650112491,18-30,33.7,0,0,2,1,1.1947431302270013
33.0,female,2,own,little,moderate,3244.0,18.0,furniture/equipment,good,180.21221043275372,31-40,98.3030303030303,0,0,1,2,0.235626767200754
54.0,male,3,own,rich,little,4591.0,24.0,business,bad,191.2836965126453,51-60,85.01851851851852,0,0,4,1,0.7154355213736362
34.0,male,1,free,moderate,moderate,3844.0,42.0,business,bad,91.52163043737055,31-40,113.05882352941177,0,0,2,2,0.4128819157720892
36.0,male,2,own,little,moderate,3915.0,27.0,business,bad,144.99462982852486,31-40,108.75,0,0,1,2,0.2034587995930824
29.0,male,2,rent,little,little,2108.0,6.0,radio/TV,good,351.2747875354107,18-30,72.6896551724138,0,0,1,1,0.32175032175032175
21.0,male,2,rent,moderate,moderate,3031.0,42.0,radio/TV,bad,72.16494845360825,18-30,144.33333333333334,0,0,2,2,0.4961548002976928
34.0,female,3,own,little,moderate,1501.0,9.0,education,bad,166.75924897233642,31-40,44.14705882352941,0,0,1,2,0.39984006397441024
28.0,female,2,own,little,little,1382.0,6.0,radio/TV,good,230.2949508415264,18-30,49.357142857142854,0,0,1,1,0.4198152812762385
27.0,female,2,rent,moderate,moderate,951.0,12.0,furniture/equipment,bad,79.2433963836347,18-30,35.22222222222222,0,0,2,2,1.0251153254741159
36.0,male,2,free,little,moderate,2760.0,24.0,car,good,114.99520853297778,31-40,76.66666666666667,0,0,1,2,0.26595744680851063
40.0,male,3,own,little,moderate,4297.0,18.0,furniture/equipment,bad,238.70896061329924,31-40,107.425,0,0,1,2,0.18878610534264678
52.0,male,2,own,quite rich,little,936.0,9.0,education,good,103.98844572825243,51-60,18.0,0,0,3,1,1.5495867768595042
27.0,male,1,own,little,little,1168.0,12.0,car,good,97.32522289809182,18-30,43.25925925925926,0,0,1,1,0.46125461254612543
26.0,male,2,own,little,little,5117.0,27.0,business,good,189.51149957408984,18-30,196.80769230769232,0,0,1,1,0.16347882949158085
21.0,male,2,rent,little,little,902.0,12.0,education,bad,75.16040329972503,18-30,42.95238095238095,0,0,1,1,0.5257623554153522
38.0,male,1,own,little,little,1495.0,12.0,car,good,124.57295225397884,31-40,39.3421052631579,0,0,1,1,0.4008016032064128
38.0,male,3,free,little,little,7882.375,30.0,car,good,262.73707543081895,31-40,207.4309210526316,0,0,1,1,0.11258250186464769
